source_field	include_value	exclude_value	filter_group_id	comments
dataset_name		SHARK_Zoobenthos_2007_SVVAEK_Nattaros		
dataset_name		SHARK_Zoobenthos_2007_SVVAEK_Singo		
dataset_name		SHARK_Zoobenthos_2007_SVVAEK_StoraNassas		
dataset_name		SHARK_Zoobenthos_2007_UMSC_ACLST		
dataset_name		SHARK_Zoobenthos_2007_UMSC_Boliden		
dataset_name		SHARK_Zoobenthos_2007_XLST_Gavle_Yttre_Fjarden		
dataset_name		SHARK_Zoobenthos_2007_XLST_Hudik_Gard		
dataset_name		SHARK_Zoobenthos_2008_2011_YLST_NedAngSRK		
dataset_name		SHARK_Zoobenthos_2008_HBGMILJO		
dataset_name		SHARK_Zoobenthos_2008_ILST		
dataset_name	SHARK_Zoobenthos_2008_KMRS			
dataset_name		SHARK_Zoobenthos_2008_LNU_Vastervik		
dataset_name	SHARK_Zoobenthos_2008_NLST			
dataset_name		SHARK_Zoobenthos_2008_PAG_NLST_Halland		
dataset_name		SHARK_Zoobenthos_2008_PAG_NLST_Kungsbacka		
dataset_name		SHARK_Zoobenthos_2008_SVVAEK_Namndo		
dataset_name		SHARK_Zoobenthos_2008_SVVAEK_Torro		
dataset_name		SHARK_Zoobenthos_2008_UMSC_Boliden		
dataset_name		SHARK_Zoobenthos_2008_XLST_Hudik_Ago_mfl		
dataset_name		SHARK_Zoobenthos_2008_YLST_utokadMO		
dataset_name		SHARK_Zoobenthos_2008-2016_PAG_XRK Kullavik		
dataset_name		SHARK_Zoobenthos_2009_2012_MMAB		
dataset_name		SHARK_Zoobenthos_2009_CALLUN		
dataset_name		SHARK_Zoobenthos_2009_HBGMILJO		
dataset_name	SHARK_Zoobenthos_2009_KMRS			
dataset_name		SHARK_Zoobenthos_2009_LNU_ABB		
dataset_name		SHARK_Zoobenthos_2009_LNU_Viran		
dataset_name		SHARK_Zoobenthos_2009_MLST		
dataset_name		SHARK_Zoobenthos_2009_NLST		
dataset_name		SHARK_Zoobenthos_2009_UMSC_Boliden		
