scientific_name	authority	rank	aphia_id	url	parent_name	parent_id	status	valid_aphia_id	valid_name	valid_authority	kingdom	phylum	class	order	family	genus	classification	lsid
Hyperiidea	H. Milne Edwards, 1830	Suborder	1205	https://www.marinespecies.org/aphia.php?p=taxdetails&id=1205	Amphipoda	1135	accepted	1205	Hyperiidea	H. Milne Edwards, 1830	Animalia	Arthropoda	Malacostraca	Amphipoda			[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Peracarida - [Order] Amphipoda - [Suborder] Hyperiidea	urn:lsid:marinespecies.org:taxname:1205
Hyalodiscus	Hertwig & Lesser, 1874	Genus	120564	https://www.marinespecies.org/aphia.php?p=taxdetails&id=120564	Hyalodiscidae	146309	accepted	120564	Hyalodiscus	Hertwig & Lesser, 1874	Protozoa	Amoebozoa	Lobosa incertae sedis		Hyalodiscidae	Hyalodiscus	[Superdomain] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Amoebozoa - [Subphylum] Lobosa - [Class] Lobosa incertae sedis - [Family] Hyalodiscidae - [Genus] Hyalodiscus	urn:lsid:marinespecies.org:taxname:120564
Vannella	Bovee, 1965	Genus	120566	https://www.marinespecies.org/aphia.php?p=taxdetails&id=120566	Vannellidae	22724	accepted	120566	Vannella	Bovee, 1965	Protozoa	Amoebozoa	Discosea	Vannellida	Vannellidae	Vannella	[Superdomain] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Amoebozoa - [Subphylum] Lobosa - [Class] Discosea - [Subclass] Flabellinia - [Order] Vannellida - [Family] Vannellidae - [Genus] Vannella	urn:lsid:marinespecies.org:taxname:120566
Gammaridea	Latreille, 1802	Suborder	1207	https://www.marinespecies.org/aphia.php?p=taxdetails&id=1207	Amphipoda	1135	unaccepted				Animalia	Arthropoda	Malacostraca	Amphipoda			[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Peracarida - [Order] Amphipoda - [Suborder] Gammaridea	urn:lsid:marinespecies.org:taxname:1207
Heteronemertea	B�rger, 1892	Order	122305	https://www.marinespecies.org/aphia.php?p=taxdetails&id=122305	Pilidiophora	1320351	accepted	122305	Heteronemertea	B�rger, 1892	Animalia	Nemertea	Pilidiophora	Heteronemertea			[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Nemertea - [Class] Pilidiophora - [Order] Heteronemertea	urn:lsid:marinespecies.org:taxname:122305
Hoplonemertea	Hubrecht, 1879	Class	122309	https://www.marinespecies.org/aphia.php?p=taxdetails&id=122309	Nemertea	152391	accepted	122309	Hoplonemertea	Hubrecht, 1879	Animalia	Nemertea	Hoplonemertea				[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Nemertea - [Class] Hoplonemertea	urn:lsid:marinespecies.org:taxname:122309
Cerebratulus	Renier, 1804	Genus	122348	https://www.marinespecies.org/aphia.php?p=taxdetails&id=122348	Lineidae	122314	accepted	122348	Cerebratulus	Renier, 1804	Animalia	Nemertea	Pilidiophora	Heteronemertea	Lineidae	Cerebratulus	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Nemertea - [Class] Pilidiophora - [Order] Heteronemertea - [Family] Lineidae - [Genus] Cerebratulus	urn:lsid:marinespecies.org:taxname:122348
Callinera	Bergendal, 1900	Genus	122384	https://www.marinespecies.org/aphia.php?p=taxdetails&id=122384	Callineridae	1451610	accepted	122384	Callinera	Bergendal, 1900	Animalia	Nemertea	Palaeonemertea	Tubulaniformes	Callineridae	Callinera	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Nemertea - [Class] Palaeonemertea - [Order] Tubulaniformes - [Family] Callineridae - [Genus] Callinera	urn:lsid:marinespecies.org:taxname:122384
Carinina	Hubrecht, 1885	Genus	122386	https://www.marinespecies.org/aphia.php?p=taxdetails&id=122386	Carininidae	1451608	accepted	122386	Carinina	Hubrecht, 1885	Animalia	Nemertea	Palaeonemertea	Carinomiformes	Carininidae	Carinina	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Nemertea - [Class] Palaeonemertea - [Order] Carinomiformes - [Family] Carininidae - [Genus] Carinina	urn:lsid:marinespecies.org:taxname:122386
Tubulanus	Renier, 1804	Genus	122388	https://www.marinespecies.org/aphia.php?p=taxdetails&id=122388	Tubulanidae	122321	accepted	122388	Tubulanus	Renier, 1804	Animalia	Nemertea	Palaeonemertea	Tubulaniformes	Tubulanidae	Tubulanus	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Nemertea - [Class] Palaeonemertea - [Order] Tubulaniformes - [Family] Tubulanidae - [Genus] Tubulanus	urn:lsid:marinespecies.org:taxname:122388
