source_field	include_value	exclude_value	exclude_value_dropvideo	exclude_value_other	filter_group_id	comments
dataset_name		SHARK_Epibenthos_2018_SLC-T_Skagerack				
dataset_name			SHARK_Epibenthos_2019_AQBI_HLST_dropvideo			
dataset_name			SHARK_Epibenthos_2019_AQBI_Varmdo_Dropvideo			
dataset_name		SHARK_Epibenthos_2019_DEEP_Asko				
dataset_name		SHARK_Epibenthos_2019_DEEP_Hoga_kusten				
dataset_name		SHARK_Epibenthos_2019_DEEP_Singo				
dataset_name	SHARK_Epibenthos_2019_LITORALIS_ELST					
dataset_name		SHARK_Epibenthos_2019_LNU				
dataset_name	SHARK_Epibenthos_2019_LNU_BKVF					
dataset_name	SHARK_Epibenthos_2019_LNU_KLKK					
dataset_name			SHARK_Epibenthos_2019_MEDINS_ILST_dropvideo			
dataset_name			SHARK_Epibenthos_2019_MEDINS_KLST_dropvideo			
dataset_name				SHARK_Epibenthos_2019_MMAB_OLST		
dataset_name	SHARK_Epibenthos_2019_NIRAS					
dataset_name				SHARK_Epibenthos_2019_NIRAS_OVF		
dataset_name		SHARK_Epibenthos_2019_OLST				excluded 2023-01-26
dataset_name		SHARK_Epibenthos_2019_SLC-T				
dataset_name	SHARK_Epibenthos_2019_SVVAEK_ABLST_G					
dataset_name	SHARK_Epibenthos_2019_SVVAEK_ABLST_N					
dataset_name			SHARK_Epibenthos_2019_SVVAEK_ACLST_Dropvideo			
dataset_name	SHARK_Epibenthos_2019_SVVAEK_BDLST					
dataset_name	SHARK_Epibenthos_2019_SVVAEK_XLST					
dataset_name	SHARK_Epibenthos_2019_TYRENS_XLST					
dataset_name	SHARK_Epibenthos_2020_BDLST_BDK					
dataset_name		SHARK_Epibenthos_2020_DEEP_Asko				
dataset_name	SHARK_Epibenthos_2020_DEEP_DLST					
dataset_name		SHARK_Epibenthos_2020_DEEP_Hoga_kusten				
dataset_name		SHARK_Epibenthos_2020_DEEP_Singo				
dataset_name	SHARK_Epibenthos_2020_LITORALIS_ELST					
dataset_name		SHARK_Epibenthos_2020_LNU				
dataset_name	SHARK_Epibenthos_2020_LNU_BKVF					
dataset_name			SHARK_Epibenthos_2020_SGU_dropvideo			
dataset_name		SHARK_Epibenthos_2020_SLC-T				
dataset_name	SHARK_Epibenthos_2020_SVVAEK_ACLST					
dataset_name	SHARK_Epibenthos_2020_SVVAEK_BDLST					
dataset_name	SHARK_Epibenthos_2020_SVVAEK_XLST					
dataset_name	SHARK_Epibenthos_2020_SVVAEK_XLST_Inventering					
dataset_name		SHARK_Epibenthos_2021_DEEP_Asko				
dataset_name		SHARK_Epibenthos_2021_DEEP_Gotland				
dataset_name		SHARK_Epibenthos_2021_DEEP_Hoga_kusten				
dataset_name		SHARK_Epibenthos_2021_DEEP_Singo				
dataset_name	SHARK_Epibenthos_2021_LITORALIS_ELST					
dataset_name		SHARK_Epibenthos_2021_LNU				
dataset_name	SHARK_Epibenthos_2021_LNU_BKVF					
dataset_name			SHARK_Epibenthos_2021_MEDINS_MLST_dropvideo			
dataset_name				SHARK_Epibenthos_2021_MMAB_OLST		
dataset_name	SHARK_Epibenthos_2021_NIRAS					
dataset_name		SHARK_Epibenthos_2021_SLC-T				
dataset_name			SHARK_Epibenthos_2022_TYRENS_XLST_dropvideo			
dataset_name				SHARK_Epibenthos_2002_2008_HAFOK_GRUNDA		
dataset_name				SHARK_Epibenthos_2008_HAFOK_UMFVideo		
dataset_name				SHARK_Epibenthos_2012_2017_TOXICON		
dataset_name			SHARK_Epibenthos_2018_MMAB_Askims_fjord			
dataset_name			SHARK_Epibenthos_2018_MMAB_Branno_Styrso			
dataset_name			SHARK_Epibenthos_2018_MMAB_Stora_Amundo_Billdals_Skargard			
dataset_name				SHARK_Epibenthos_2018_TOXICON		

# New datasets for export, prepared July 2023

dataset_name		SHARK_Epibenthos_2022_DEEP_Asko_MB						
dataset_name		SHARK_Epibenthos_2022_DEEP_Asko						
dataset_name		SHARK_Epibenthos_2022_DEEP_Singo						
dataset_name	SHARK_Epibenthos_2022_DEEP_Sodermanland					
dataset_name	SHARK_Epibenthos_2022_DEEP_Uppsala					
dataset_name	SHARK_Epibenthos_2022_LNU_BKVF					
dataset_name		SHARK_Epibenthos_2022_LNU						
dataset_name				SHARK_Epibenthos_2022_NATVAT_ABLST			
dataset_name	SHARK_Epibenthos_2022_NIRAS					
dataset_name		SHARK_Epibenthos_2022_SLC-T						
dataset_name	SHARK_Epibenthos_2022_SVVAEK_ABLST					
dataset_name	SHARK_Epibenthos_2022_SVVAEK_XLST					
dataset_name			SHARK_Epibenthos_2022_TYRENS_XLST_dropvideo			
